"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","3907597","","","","0"
"2010","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","3953773","","","","0"
"2011","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","3994492","","","","0"
"2012","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4031655","","","","0"
"2013","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4066332","","","","0"
"2014","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4093501","","","","0"
"2015","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4109712","","","","0"
"2016","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4140425","","","","0"
"2017","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4190786","","","","0"
"2018","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4253300","","","","0"
"2019","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4318505","","","","0"
"2009","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1246116","","","","0"
"2010","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1268687","","","","0"
"2011","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1288388","","","","0"
"2012","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1303562","","","","0"
"2013","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1315160","","","","0"
"2014","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1326612","","","","0"
