"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
"Canada","","Number",,,,
,"Total population","28,846,761","30,007,094","31,612,897","33,476,688","35,151,728"
,"Population in population centres 5","22,461,210","23,908,211","25,350,743","27,147,274","28,576,355"
,"Population in rural areas 5","6,385,551","6,098,883","6,262,154","6,329,414","6,575,373"
,"","Number per square kilometre",,,,
,"Total population density","3.310","3.443","3.627","3.841","4.033"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","77.9","79.7","80.2","81.1","81.3"
,"Population in rural areas as a share of total population 5","22.1","20.3","19.8","18.9","18.7"
,"","Number",,,,
,"Private occupied dwellings 6","10,819,904","11,683,166","12,435,520","13,320,614","14,072,079"
,"Private occupied dwellings in population centres 5 6","8,605,786","9,420,920","10,077,782","10,883,636","11,477,795"
,"Private occupied dwellings in rural areas 5 6","2,214,118","2,262,246","2,357,738","2,436,978","2,594,284"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","1.241","1.340","1.427","1.528","1.615"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.5","2.5","2.5"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.5","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.7","2.6","2.5"
"Arctic Cordillera (ecozone)","Total population","1,196","1,304","1,293","1,454","1,651"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1,196","1,304","1,293","1,454","1,651"
,"","Number per square kilometre",,,,
,"Total population density","0.005","0.006","0.005","0.006","0.007"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","266","291","309","362","425"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","266","291","309","362","425"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.001","0.001","0.002","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.5","4.5","4.2","4.0","3.9"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.5","4.5","4.2","4.0","3.9"
"Ellesmere and Devon Islands Ice Caps (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
