"REF_DATE","GEO","DGUID","Dwelling tenure","Selected housing indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, structural type of dwelling","Number of households","Number","223","units","0","v1110604520","64.3.1.1","150300","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, structural type of dwelling","Percentage of households","Percent","239","units","0","v1110604523","64.3.1.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Single-detached house","Number of households","Number","223","units","0","v1110604526","64.3.2.1","57200","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Single-detached house","Percentage of households","Percent","239","units","0","v1110604529","64.3.2.4","38.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Semi-detached house","Number of households","Number","223","units","0","v1110604532","64.3.3.1","13400","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Semi-detached house","Percentage of households","Percent","239","units","0","v1110604535","64.3.3.4","8.9","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Row house","Number of households","Number","223","units","0","v1110604538","64.3.4.1","11700","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Row house","Percentage of households","Percent","239","units","0","v1110604541","64.3.4.4","7.8","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Apartment or flat in a duplex","Number of households","Number","223","units","0","v1110604544","64.3.5.1","10300","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Apartment or flat in a duplex","Percentage of households","Percent","239","units","0","v1110604547","64.3.5.4","6.9","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Apartment in a building that has five or more storeys","Number of households","Number","223","units","0","v1110604550","64.3.6.1","9000","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Apartment in a building that has five or more storeys","Percentage of households","Percent","239","units","0","v1110604553","64.3.6.4","6.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Apartment in a building that has fewer than five storeys","Number of households","Number","223","units","0","v1110604556","64.3.7.1","41000","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Apartment in a building that has fewer than five storeys","Percentage of households","Percent","239","units","0","v1110604559","64.3.7.4","27.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Other single-attached house","Number of households","Number","223","units","0","v1110604562","64.3.8.1","","0s","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Other single-attached house","Percentage of households","Percent","239","units","0","v1110604565","64.3.8.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moveable dwelling","Number of households","Number","223","units","0","v1110604568","64.3.9.1","1200","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moveable dwelling","Percentage of households","Percent","239","units","0","v1110604571","64.3.9.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, condominium status","Number of households","Number","223","units","0","v1110623024","64.3.10.1","150300","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, condominium status","Percentage of households","Percent","239","units","0","v1110623027","64.3.10.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Condominium","Number of households","Number","223","units","0","v1110623030","64.3.11.1","49100","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Condominium","Percentage of households","Percent","239","units","0","v1110623033","64.3.11.4","33.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Not condominium","Number of households","Number","223","units","0","v1110623036","64.3.12.1","101100","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Not condominium","Percentage of households","Percent","239","units","0","v1110623039","64.3.12.4","67.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, satisfaction with dwelling","Number of households","Number","223","units","0","v1110698042","64.3.13.1","150200","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, satisfaction with dwelling","Percentage of households","Percent","239","units","0","v1110698045","64.3.13.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very satisfied with dwelling","Number of households","Number","223","units","0","v1110698048","64.3.14.1","40100","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very satisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698051","64.3.14.4","27.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Satisfied with dwelling","Number of households","Number","223","units","0","v1110698054","64.3.15.1","91100","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Satisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698057","64.3.15.4","61.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Neither satisfied nor dissatisfied with dwelling","Number of households","Number","223","units","0","v1110698060","64.3.16.1","14900","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Neither satisfied nor dissatisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698063","64.3.16.4","9.9","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Dissatisfied with dwelling","Number of households","Number","223","units","0","v1110698066","64.3.17.1","3200","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Dissatisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698069","64.3.17.4","2.1","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very dissatisfied with dwelling","Number of households","Number","223","units","0","v1110698072","64.3.18.1","900","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very dissatisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698075","64.3.18.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, satisfaction with neighbourhood","Number of households","Number","223","units","0","v1110678962","64.3.19.1","150200","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Total, satisfaction with neighbourhood","Percentage of households","Percent","239","units","0","v1110678965","64.3.19.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very satisfied with neighbourhood","Number of households","Number","223","units","0","v1110678968","64.3.20.1","70600","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very satisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110678971","64.3.20.4","47.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Satisfied with neighbourhood","Number of households","Number","223","units","0","v1110678974","64.3.21.1","67200","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Satisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110678977","64.3.21.4","45.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Neither satisfied nor dissatisfied with neighbourhood","Number of households","Number","223","units","0","v1110678980","64.3.22.1","11400","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Neither satisfied nor dissatisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110678983","64.3.22.4","7.6","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Dissatisfied with neighbourhood","Number of households","Number","223","units","0","v1110678986","64.3.23.1","","0s","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Dissatisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110678989","64.3.23.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very dissatisfied with neighbourhood","Number of households","Number","223","units","0","v1110678992","64.3.24.1","1000","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Very dissatisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110678995","64.3.24.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved because the household was forced to move by a landlord, a bank or other financial institution or the government","Number of households","Number","223","units","0","v1110708692","64.3.25.1","1100","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved because the household was forced to move by a landlord, a bank or other financial institution or the government","Percentage of households","Percent","239","units","0","v1110708695","64.3.25.4","","x","","","1"
