"REF_DATE","GEO","DGUID","Family type","Family composition","Parent characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","998510","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1008240","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1015770","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1025120","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1035400","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1041970","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1048580","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1056240","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1061300","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1100510","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with or without children","All parental age groups","Number","223","units","0","v21211314","14.1.1.1","1114180","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","240700","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","237990","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","235830","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","236460","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","237930","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","239890","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","240750","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","242360","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","243600","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","251430","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 35 to 44 years","Number","223","units","0","v21211317","14.1.1.4","255250","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","178400","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","183450","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","188950","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","194440","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","201480","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","207890","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","214340","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","220810","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","226180","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with or without children","Older parent aged 65 years and over","Number","223","units","0","v21211320","14.1.1.7","240030","","","","0"
