"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: 17-10-0135-01"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,
"","All ages",,,,,,,,,,
"Geography","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Persons",,,,,,,,,,
"Montréal (CMA), Quebec","3,907,597","3,953,773","3,994,492","4,031,655","4,066,332","4,093,501","4,109,712","4,140,425","4,190,786","4,253,300","4,318,505"
"Ottawa - Gatineau (CMA), Ontario/Quebec","1,246,116","1,268,687","1,288,388","1,303,562","1,315,160","1,326,612","1,337,305","1,358,100","1,384,983","1,411,320","1,441,118"
"Toronto (CMA), Ontario","5,588,312","5,681,126","5,768,001","5,852,841","5,931,697","5,998,737","6,045,240","6,125,013","6,219,114","6,344,275","6,471,850"
"Calgary (CMA), Alberta","1,220,700","1,240,521","1,263,935","1,300,292","1,344,686","1,386,828","1,414,010","1,438,160","1,459,256","1,483,983","1,514,723"
"Edmonton (CMA), Alberta","1,163,333","1,183,929","1,205,342","1,234,307","1,271,773","1,312,214","1,338,092","1,364,394","1,391,219","1,417,062","1,447,143"
"Vancouver (CMA), British Columbia","2,301,469","2,344,847","2,374,642","2,418,938","2,459,426","2,507,414","2,544,484","2,582,202","2,612,874","2,652,306","2,691,351"
"Bay Roberts (CA), Newfoundland and Labrador","10,833","10,989","11,069","11,070","11,087","11,154","11,227","11,284","11,336","11,273","11,187"
"Grand Falls-Windsor (CA), Newfoundland and Labrador","13,743","13,885","13,973","14,068","14,124","14,286","14,341","14,421","14,387","14,350","14,258"
"Gander (CA), Newfoundland and Labrador","12,459","12,713","12,938","13,142","13,214","13,310","13,418","13,507","13,604","13,601","13,550"
"Corner Brook (CA), Newfoundland and Labrador","31,595","31,810","32,009","32,098","32,348","32,333","32,397","32,498","32,361","32,079","31,793"
"Charlottetown (CA), Prince Edward Island","63,777","65,292","67,616","68,188","68,159","68,692","69,480","71,533","74,541","76,693","78,568"
"Summerside (CA), Prince Edward Island","16,631","16,788","16,858","17,009","17,048","16,970","16,909","16,955","17,112","17,474","17,864"
"Kentville (CA), Nova Scotia","26,763","26,856","26,933","27,010","26,812","26,774","26,639","26,754","27,016","27,488","27,751"
"Truro (CA), Nova Scotia","46,790","46,802","46,913","46,929","46,733","46,463","46,323","46,588","46,503","46,633","46,852"
"New Glasgow (CA), Nova Scotia","36,594","36,621","36,574","36,303","35,957","35,661","35,282","35,053","34,961","34,880","34,824"
