"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","39106","","","","0"
"2007/2008","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","39519","","","","0"
"2008/2009","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","40281","","","","0"
"2009/2010","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","44689","","","","0"
"2010/2011","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","46348","","","","0"
"2011/2012","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","46761","","","","0"
"2012/2013","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","47881","","","","0"
"2013/2014","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","44169","","","","0"
"2014/2015","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","39167","","","","0"
"2015/2016","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","46771","","","","0"
"2016/2017","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","45013","","","","0"
"2017/2018","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","40648","","","","0"
"2018/2019","Montréal (CMA), Quebec","2016S0503462","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060953769","44.3.1.1","37442","","","","0"
"2006/2007","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060977793","52.3.1.1","6943","","","","0"
"2007/2008","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060977793","52.3.1.1","7573","","","","0"
"2008/2009","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060977793","52.3.1.1","7207","","","","0"
