"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","98.1","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","99.3","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","100.6","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","102.0","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","102.0","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","103.4","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","105.8","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","106.3","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","106.4","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","107.9","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","111.8","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","112.8","","","","1"
"2020-01","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","114.9","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","99.1","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","99.3","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","100.1","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","101.6","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","101.2","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","101.7","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","103.2","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","103.8","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units","0","v1073542628","2.1.2","103.3","","","","1"
