"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","5.4","","","","1"
"2010","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","3.4","","","","1"
"2011","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","1.8","","","","1"
"2012","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","1.3","","","","1"
"2013","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","1.0","","","","1"
"2014","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","1.4","","","","1"
"2015","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","5.3","","","","1"
"2016","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","6.9","","","","1"
"2017","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","6.2","","","","1"
"2018","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","3.9","","","","1"
"2019","Calgary, Alberta","2011S0503825","Rate","257","units","0","v733335","2","3.7","","","","1"
"2009","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","4.5","","","","1"
"2010","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","4.2","","","","1"
"2011","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","3.3","","","","1"
"2012","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","1.6","","","","1"
"2013","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","1.4","","","","1"
"2014","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","1.7","","","","1"
"2015","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","4.2","","","","1"
"2016","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","7.1","","","","1"
"2017","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","7.0","","","","1"
"2018","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","5.3","","","","1"
"2019","Edmonton, Alberta","2011S0503835","Rate","257","units","0","v733356","4","4.9","","","","1"
"2009","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","2.9","","","","1"
"2010","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","3.0","","","","1"
"2011","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","2.8","","","","1"
"2012","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","3.1","","","","1"
"2013","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","3.2","","","","1"
"2014","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","3.8","","","","1"
"2015","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","4.5","","","","1"
"2016","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","4.6","","","","1"
"2017","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","2.9","","","","1"
"2018","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","2.0","","","","1"
"2019","Montréal, Quebec","2011S0503462","Rate","257","units","0","v733355","9","1.6","","","","1"
"2009","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","1.5","","","","1"
"2010","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","1.7","","","","1"
"2011","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","1.5","","","","1"
"2012","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","2.6","","","","1"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","3.3","","","","1"
"2014","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","3.3","","","","1"
"2015","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","3.9","","","","1"
"2016","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","3.4","","","","1"
"2017","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","2.2","","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","1.5","","","","1"
"2019","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units","0","v733336","11","1.8","","","","1"
"2009","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","3.0","","","","1"
"2010","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","2.1","","","","1"
"2011","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.4","","","","1"
"2012","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.7","","","","1"
"2013","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.6","","","","1"
"2014","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.6","","","","1"
"2015","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.5","","","","1"
"2016","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.3","","","","1"
"2017","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.0","","","","1"
"2018","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.1","","","","1"
"2019","Toronto, Ontario","2011S0503535","Rate","257","units","0","v733349","23","1.5","","","","1"
"2009","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","2.1","","","","1"
"2010","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","1.9","","","","1"
"2011","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","1.4","","","","1"
"2012","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","1.8","","","","1"
"2013","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","1.7","","","","1"
"2014","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","1.0","","","","1"
"2015","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","0.8","","","","1"
"2016","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","0.7","","","","1"
"2017","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","0.9","","","","1"
"2018","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","1.0","","","","1"
"2019","Vancouver, British Columbia","2011S0503933","Rate","257","units","0","v733351","25","1.1","","","","1"


