Census families by age of older partner or parent and number of children 1 2 3 4 5
"Annual"
"Table: 11-10-0011-01 (formerly CANSIM 111-0011)"
"Geography: Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","","","Montréal, Quebec 7",,,,,,,,,,,"Toronto, Ontario",,,,,,,,,,,"Calgary, Alberta",,,,,,,,,,,"Edmonton, Alberta",,,,,,,,,,,"Vancouver, British Columbia",,,,,,,,,,,"Ottawa - Gatineau, combined Ontario/Quebec 8",,,,,,,,,,
"Family type2 3 4 5","Family composition2 3 4 5","Parent characteristics5","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"All families 3 4","Families with or without children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","998,510","1,008,240","1,015,770","1,025,120","1,035,400","1,041,970","1,048,580","1,056,240","1,061,300","1,100,510","1,114,180","1,494,090","1,517,790","1,542,210","1,560,890","1,581,920","1,601,020","1,619,090","1,639,040","1,655,210","1,670,460","1,692,790","311,300","321,640","326,040","332,740","343,710","356,170","370,090","381,280","386,650","389,430","394,980","295,410","304,650","309,530","314,660","323,360","333,390","346,650","358,600","365,630","368,090","374,340","604,790","618,100","628,040","637,370","647,310","654,250","663,280","673,870","683,470","691,720","702,590","..","324,070","329,510","332,930","336,980","339,890","342,660","346,120","350,330","360,940","367,190"
,,"Older parent aged 35 to 44 years 10","240,700","237,990","235,830","236,460","237,930","239,890","240,750","242,360","243,600","251,430","255,250","394,180","389,000","383,200","380,180","376,870","373,180","369,370","365,500","364,210","362,350","365,890","80,200","82,290","82,590","84,200","87,120","91,050","94,880","98,250","99,220","99,800","101,410","68,430","69,830","70,510","71,480","74,050","77,440","81,630","85,740","87,890","88,970","91,860","145,990","145,040","143,630","143,280","142,640","141,550","140,180","139,810","140,440","141,550","144,470","..","77,790","76,880","76,250","75,930","75,660","75,250","75,290","75,050","76,920","78,180"
,,"Older parent aged 65 years and over 10","178,400","183,450","188,950","194,440","201,480","207,890","214,340","220,810","226,180","240,030","246,570","244,280","253,250","263,130","271,310","284,710","300,190","312,940","327,080","336,740","348,200","359,260","40,280","41,780","43,260","45,180","47,940","50,710","53,800","56,740","59,720","62,850","66,390","44,860","46,360","47,680","49,100","51,410","53,710","56,270","58,790","61,720","64,510","67,690","105,290","109,120","113,080","116,930","122,820","129,620","135,890","142,170","147,650","152,810","157,980","..","53,260","55,490","57,530","60,680","64,230","67,420","70,430","73,140","77,680","80,520"
,,"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Median total income 11 12","63,790","65,660","65,960","67,010","69,150","71,390","73,250","75,010","76,950","79,180","82,000","66,560","68,120","66,790","68,110","69,740","71,210","72,830","75,270","78,280","80,310","83,020","87,970","91,570","88,410","89,490","93,410","98,300","101,260","104,530","104,410","100,200","102,060","83,460","88,190","86,250","87,930","91,860","96,030","98,480","101,470","101,870","98,890","101,190","66,330","68,670","67,550","67,090","68,970","71,140","73,390","76,040","79,930","82,510","86,140","..","87,160","89,410","90,790","93,440","94,230","96,710","97,760","99,510","100,760","105,050"
,"Families with no children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","396,630","402,570","408,280","413,390","420,640","423,900","428,260","433,020","436,790","455,380","463,930","494,390","508,330","521,060","530,030","541,170","550,880","561,520","575,980","585,460","597,810","613,220","121,820","127,580","129,390","130,980","135,980","141,220","149,370","154,480","154,180","152,980","153,790","114,250","120,300","123,790","125,920","129,730","134,360","142,380","148,320","149,180","147,670","148,080","239,370","246,090","252,680","256,690","263,030","267,250","275,540","282,460","288,710","294,930","302,720","..","124,640","128,400","130,220","133,170","134,570","136,330","138,740","141,280","146,320","149,530"
,,"Older parent aged 35 to 44 years 10","38,160","37,790","38,340","38,100","38,850","39,260","39,800","40,550","40,520","41,370","44,120","64,540","65,790","66,380","66,380","66,490","65,810","66,640","67,130","67,040","68,200","70,870","16,200","17,630","17,730","17,460","17,950","18,890","20,460","21,400","20,470","19,650","19,630","11,260","12,770","13,690","13,490","14,060","14,920","16,720","17,880","17,000","15,880","15,880","30,290","30,460","30,520","30,410","30,640","30,260","30,880","31,550","31,860","32,880","34,870","..","11,760","11,840","11,900","11,960","11,690","11,680","11,820","11,720","11,870","12,600"
