"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","514","","","","0"
"2010","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","526","","","","0"
"2011","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","549","","","","0"
"2012","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","539","","","","0"
"2013","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","555","","","","0"
"2014","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","569","","","","0"
"2015","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","573","","","","0"
"2016","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","586","","","","0"
"2017","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","598","","","","0"
"2018","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","641","","","","0"
"2019","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822821","46.3.1","655","","","","0"
"2009","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822955","46.3.2","604","","","","0"
"2010","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822955","46.3.2","627","","","","0"
"2011","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822955","46.3.2","641","","","","0"
"2012","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822955","46.3.2","637","","","","0"
"2013","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822955","46.3.2","651","","","","0"
"2014","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822955","46.3.2","655","","","","0"
"2015","Montréal, Quebec","2011S0503462","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822955","46.3.2","668","","","","0"
